,house_type,house_size,location,price,numBathrooms,numBalconies,verificationDate,SecurityDeposit,Status
2818,2BHKApartment,850,Juhu,115000,3,2,a year,250000,Furnished
2819,2BHKApartment,850,Thane West,22000,2,1,a year,100000,Semi-Furnished
2820,3BHKApartment,1200,Khar West,175000,3,0,a year,600000,Semi-Furnished
2821,4BHKApartment,1600,Kalyan West,39000,3,5,a year,200000,Furnished
2822,2BHKApartment,1250,Kalyan West,14000,2,2,a year,75000,Semi-Furnished
2823,1RKStudioApartment,150,Borivali East,15000,1,1,6 months,50000,Semi-Furnished
2824,1BHKApartment,403,Karanjade,6500,1,2,6 months,25000,Unfurnished
2825,1RKStudioApartment,150,Borivali East,15000,1,1,6 months,50000,Semi-Furnished
2826,2BHKApartment,992,Powai,72000,2,0,5 months,180000,Semi-Furnished
2827,1BHKApartment,350,Vikhroli,29000,1,0,5 months,95000,Semi-Furnished
2828,2BHKApartment,1000,Santacruz West,90000,2,0,6 months,500000,Furnished
2829,2BHKApartment,1010,Belapur,35000,2,0,6 months,150000,Semi-Furnished
2830,2BHKApartment,945,CBD Belapur East,25000,2,1,6 months,100000,Semi-Furnished
2831,2BHKApartment,710,Malad West,53000,2,0,6 months,200000,Semi-Furnished
2832,1BHKApartment,650,Ulwe,7500,1,0,6 months,30000,Unfurnished
2833,2BHKApartment,600,Bandra East,65000,2,0,5 months,150000,Furnished
2834,3BHKApartment,1422,Borivali East,95000,3,1,a month,400000,Unfurnished
2835,3BHKApartment,1665,Borivali East,60000,3,0,a month,300000,Unfurnished
2836,3BHKApartment,1454,Malad West,80000,3,0,a month,300000,Unfurnished
2837,2BHKApartment,1158,Ghansoli,55000,2,2,a month,150000,Semi-Furnished
2838,3BHKApartment,2250,Ghansoli,65000,3,5,a month,200000,Unfurnished
2839,2BHKApartment,1100,Koper Khairane,29500,2,4,a month,90000,Unfurnished
2840,2BHKApartment,834,Borivali West,40000,2,2,3 months,100000,Furnished
2841,1BHKApartment,630,Borivali West,25000,2,2,3 months,75000,Furnished
2842,1BHKApartment,650,Borivali (West),22000,2,1,3 months,50000,Unfurnished
2843,2BHKApartment,900,Chembur,58000,2,1,2 months,200000,Unfurnished
2844,1BHKApartment,560,Nala Sopara,7500,1,1,3 months,30000,Semi-Furnished
2845,1BHKApartment,360,Nala Sopara,3000,1,1,3 months,10000,Unfurnished
2846,6BHKVilla,6000,Bandra West,1176000,7,6,2 months,6000000,Furnished
2847,6BHKpenthouse,6500,Bandra West,1189500,5,3,2 months,5000000,Furnished
